网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
泰亚史诗,2.5D,写实,网易,网易(大陆),魔幻,即时,未确定,35,大型角色扮演,"游戏于2017年05月入库，
                  共1次测试","《泰亚史诗》是一款中世纪魔幻背景的大型多人在线网络游戏。《泰亚史诗》以角色养成、装备收集、技能学习、多人关卡、战斗与竞技为主。 游戏世界中所有的物品全部可以交易，完全自由开放的游戏规则。目前游戏为玩家们提供了三个职业，初级剑士、魔法学徒、见习射手，...          
        <div>
          《泰亚史诗》是一款中世纪魔幻背景的大型多人在线网络游戏。《泰亚史诗》以角色养成、装备收集、技能学习、多人关卡、战斗与竞技为主。 游戏世界中所有的物品全部可以交易，完全自由开放的游戏规则。目前游戏为玩家们提供了三个职业，初级剑士、魔法学徒、见习射手，同时每个职业在后期还有三个转职路线，让职业的选择更加多样化。        </div>
      
      [查看详细]"
我的世界,3D,Q版,Mojang,,现代,即时,免费,479,大型角色扮演,"游戏于2013年02月入库，
                  共1次测试","《我的世界》是一款3D第一人称沙盒游戏。玩家可以在三维空间中自由地创造和破坏不同种类的方块，用想象力建立并探索一个专属于你的世界。游戏画风独特，主打积木马赛克风。游戏里玩家可以在单人或多人模式中通过摧毁或创造方块以创造精妙绝伦的建筑物和艺术，或者通...          
        <div>
          《我的世界》是一款3D第一人称沙盒游戏。玩家可以在三维空间中自由地创造和破坏不同种类的方块，用想象力建立并探索一个专属于你的世界。游戏画风独特，主打积木马赛克风。游戏里玩家可以在单人或多人模式中通过摧毁或创造方块以创造精妙绝伦的建筑物和艺术，或者通过收集物品探索地图来完成游戏的主线任务，通过自己创造的作品来体验上帝般的感觉。《我的世界》能将你的想象力全都化为现实！
游戏分为创造与生存两个模式，创造模式中玩家可以无限制的创造，没有敌人侵略，也没有Boss可以推倒，更无需担心诸如火山爆发和泥石流等天灾，玩家可以无限制地使用任何砖块来建构自己的世界。生存模式中的资源不像创造模式那样可供玩家无限使用，而是需要透过不同的方式来获得（开采、种植植物、攻击动物等），砖块携带量也有上限限制。玩家必须运用这些方块来建造建筑、打造器械来抵御怪物的袭击，保护自己，有些砖块甚至还可以制作成小船、箱子、采矿车和轨道等各种道具。        </div>
      
      [查看详细]"
救世之树,2D,Q版,IMC Games,畅游(大陆),奇幻,即时,道具收费,414,大型角色扮演,"游戏于2011年05月入库，
                  共1次测试",RO之父金学圭新作《救世之树》（曾用名：Project R1）是由韩国IMC Games公司开发的俯视视角的2D MMORPG。游戏以构筑玩家之间的关系，促进沟通为重点。
英雄联盟,2.5D,半Q版,Riot Games,腾讯(大陆),奇幻,即时,道具收费,5020,MOBA,"游戏于2008年12月入库，
                  共6次测试",《英雄联盟》是美国Riot Games开发的MOBA网游，将这一经典玩法从对战平台延伸到真正的网络世界的网游作品。 除了DOTA的快节奏，多种策略，团队作战，多样化的英雄选择外，LOL还拥有可自定义玩家的交互界面。
反恐精英：全球攻势,3D,写实,Valve,完美世界(大陆),现代,即时,未确定,596,第一人称射击,"游戏于2016年01月入库，
                  共1次测试","《反恐精英：全球攻势》是一款由VALVE与Hidden Path Entertainment合作开发的第一人称射击游戏，为《反恐精英》系列游戏的第四款作品（不包括Neo和Online等衍生作品）。游戏玩家分为“反恐精英”与“恐怖份子”两个阵营，双方需在一个地图上进行...          
        <div>
          《反恐精英：全球攻势》是一款由VALVE与Hidden Path Entertainment合作开发的第一人称射击游戏，为《反恐精英》系列游戏的第四款作品（不包括Neo和Online等衍生作品）。游戏玩家分为&ldquo;反恐精英&rdquo;与&ldquo;恐怖份子&rdquo;两个阵营，双方需在一个地图上进行多回合的战斗，达到地图要求目标或消灭全部敌方则取得胜利。        </div>
      
      [查看详细]"
魔力宝贝,2D,Q版,史克威尔艾尼克斯,易通幻龙(大陆),奇幻,回合,道具收费,138,大型角色扮演,"游戏于2004年12月入库，
                  共1次测试",《魔力宝贝》(英文名 Cross Gate )由日本ENIX公司开发(后来ENIX和SQUARE合并)的一款2DQ版MMORPG游戏。也有动漫亦为此名。日本流行组合“梦幻想”也曾发行专辑《魔力宝贝》。
群龙默示录,3D,写实,思维工坊,六月游戏(大陆),奇幻,即时,道具收费,450,大型角色扮演,"游戏于2011年10月入库，
                  共3次测试","群龙默示录是由思维工坊开发，六月游戏代理的一款空战奇幻3DMMO网游。群龙默示录架空了一个“人与龙兽”共存的世界，以‘龙’为主轴展开了一系列冒险故事，游戏拥有RENA心跳引擎、Auto-Target无锁定战斗以及攻击技能 COMBO 系统，无限制自由空战...          
        <div>
          群龙默示录是由思维工坊开发，六月游戏代理的一款空战奇幻3DMMO网游。群龙默示录架空了一个&ldquo;人与龙兽&rdquo;共存的世界，以&lsquo;龙&rsquo;为主轴展开了一系列冒险故事，游戏拥有RENA心跳引擎、Auto-Target无锁定战斗以及攻击技能 COMBO 系统，无限制自由空战、驯龙系统、载具战斗、甚至空岛沙盒玩法，等待玩家的探索。        </div>
      
      [查看详细]"
ROKH,3D,写实,Darewise Entertainment,Darewise Entertainment(欧美),科幻,即时,未确定,9,大型角色扮演,"游戏于2017年02月入库，
                  共1次测试",在《ROKH》中，成为一名火星人吧！《ROKH》是一个多人生存沙盒游戏，游戏背景设定在火星，依据现代科学的预期和现实，同时融入深加工和建筑系统。在《ROKH》中，享受红色星球的沙盒世界吧！
勇者无敌,3D,写实,英凰网络,可玩游戏(大陆),魔幻,即时,道具收费,172,大型角色扮演,"游戏于2016年05月入库，
                  共5次测试",《勇者无敌》是由可玩独家代理的一款大型3D魔幻类网游。游戏采用3D引擎技术技术，包含立体式战斗、360度自由飞行、武器修炼成长等特色系统，自由的半锁定战斗模式，让玩家领略真实的战斗体验。
笑傲江湖ol,3D,半写实,完美世界,完美世界(大陆),武侠,即时,道具收费,10439,大型角色扮演,"游戏于2009年08月入库，
                  共10次测试","笑傲江湖ol是中国领先的网络游戏开发运营商完美时空的里程碑式作品。笑傲江湖ol采用全新3D引擎技术，集合全球500余名研发精英,开发周期超过36个月,忠实金庸原著，再现真实恢弘的武侠江湖体验。游戏的主线剧情完全忠实原著，会重点刻画主角间的情感故事，玩家会和令狐...          
        <div>
          笑傲江湖ol是中国领先的网络游戏开发运营商完美时空的里程碑式作品。笑傲江湖ol采用全新3D引擎技术，集合全球500余名研发精英,开发周期超过36个月,忠实金庸原著，再现真实恢弘的武侠江湖体验。游戏的主线剧情完全忠实原著，会重点刻画主角间的情感故事，玩家会和令狐冲、任盈盈一起体会江湖中的恩怨情仇。        </div>
      
      [查看详细]"
鬼谷无双,2D,半写实,冰川网络,冰川网络(大陆),玄幻,即时,道具收费,234,大型角色扮演,"游戏于2016年07月入库，
                  共3次测试","《鬼谷无双》是一款由冰川网络自主研发的大型MMORPG游戏。《鬼谷无双》创造了建国灭国玩法，将即时战略（RTS）理念融入多人战争，灭国战、联盟战、内讧战等多种战斗模式组合出击；在传统RPG战斗模式中，巧妙加入MOBA元素，强调团队竞技性，个人精准操作；同时开放有1...          
        <div>
          《鬼谷无双》是一款由冰川网络自主研发的大型MMORPG游戏。《鬼谷无双》创造了建国灭国玩法，将即时战略（RTS）理念融入多人战争，灭国战、联盟战、内讧战等多种战斗模式组合出击；在传统RPG战斗模式中，巧妙加入MOBA元素，强调团队竞技性，个人精准操作；同时开放有10大野外战场，6大高难度连环副本，多样地图等。        </div>
      
      [查看详细]"
战意,3D,写实,网易,网易(大陆),历史,即时,未确定,235,战略角色扮演,"游戏于2015年11月入库，
                  共2次测试","《战意》为网易旗下“不鸣工作室”历时5年打造的创新战争网游，为网易游戏年度战略级3D端游产品。它是一个把武将、兵团、器械玩法相结合的3D战争网游。首创了ART动作模式，武将招式流畅，极富打击感。兵团种类繁多，技能特色鲜明，远近攻守，自由选择。战...          
        <div>
          《战意》为网易旗下&ldquo;不鸣工作室&rdquo;历时5年打造的创新战争网游，为网易游戏年度战略级3D端游产品。它是一个把武将、兵团、器械玩法相结合的3D战争网游。首创了ART动作模式，武将招式流畅，极富打击感。兵团种类繁多，技能特色鲜明，远近攻守，自由选择。战场地形丰富多样，可供施展战术策略。活性天气系统上线，利用气象争夺胜利。世界沙盘揭开面纱，广阔的战争世界等你探索！        </div>
      
      [查看详细]"
星际战甲,3D,半写实,Digital Extremes,,科幻,即时,道具收费,3901,第三人称射击,"游戏于2012年08月入库，
                  共4次测试",《星际战甲》（暂译，原名：WARFRAME）是由Digital Extremes制作的科幻射击网游。这款科幻射击游戏，除了角色的造型科幻外（造型神似EVA初号机） ，技能也十分的科幻。技能包括加速跑、超级跳跃、换位移动、瞬移、以及爆气后快速切割等。BGM颇具日本风格。
玄天之剑,3D,半写实,久游,乐游游戏(大陆),玄幻,即时,道具收费,633,大型角色扮演,"游戏于2011年09月入库，
                  共7次测试",《玄天之剑》是久游北京研发团队开发的一款3D玄幻MMORPG，该游戏是久游《神兵传奇》、《流星蝴蝶剑OL》之后推出的第三款虚幻3网游。
H1Z1,3D,写实,SOE,SOE(美国),科幻,即时,未确定,158,大型角色扮演,,"《H1Z1》是SOE旗下一款用ForgeLight引擎打造的免费沙盒MMO新游，游戏背景设定在僵尸病毒爆发15年以后的中美洲地区，玩家可以在地图上任意选择出生地，然后出发探索城市和郊野，游戏中玩家也可以使用载具和火焰。《H1Z1》将提供一个持续存在的游戏世界，每个服务器上...          
        <div>
          《H1Z1》是SOE旗下一款用ForgeLight引擎打造的免费沙盒MMO新游，游戏背景设定在僵尸病毒爆发15年以后的中美洲地区，玩家可以在地图上任意选择出生地，然后出发探索城市和郊野，游戏中玩家也可以使用载具和火焰。《H1Z1》将提供一个持续存在的游戏世界，每个服务器上都将有上千名玩家，每个玩家都将给这个世界带来改变。        </div>
      
      [查看详细]"
